"yelp_278","yelp_small_278","1.0"
"yelp_178","yelp_small_178","1.0"
"yelp_380","yelp_small_380","1.0"
"yelp_306","yelp_small_306","1.0"
"yelp_52","yelp_small_52","1.0"
"yelp_323","yelp_small_323","1.0"
"yelp_7","yelp_small_7","1.0"
"yelp_298","yelp_small_298","1.0"
"yelp_136","yelp_small_136","1.0"
"yelp_60","yelp_small_60","1.0"
"yelp_367","yelp_small_367","1.0"
"yelp_231","yelp_small_231","1.0"
"yelp_89","yelp_small_89","1.0"
"yelp_254","yelp_small_254","1.0"
"yelp_88","yelp_small_88","1.0"
"yelp_155","yelp_small_155","1.0"
"yelp_41","yelp_small_41","1.0"
"yelp_215","yelp_small_215","1.0"
"yelp_388","yelp_small_388","1.0"
"yelp_190","yelp_small_190","1.0"
"yelp_232","yelp_small_232","1.0"
"yelp_284","yelp_small_284","1.0"
"yelp_146","yelp_small_146","1.0"
"yelp_304","yelp_small_304","1.0"
"yelp_135","yelp_small_135","1.0"
"yelp_132","yelp_small_132","1.0"
"yelp_352","yelp_small_352","1.0"
"yelp_356","yelp_small_356","1.0"
"yelp_172","yelp_small_172","1.0"
"yelp_194","yelp_small_194","1.0"
"yelp_76","yelp_small_76","1.0"
"yelp_200","yelp_small_200","1.0"
"yelp_318","yelp_small_318","1.0"
"yelp_115","yelp_small_115","1.0"
"yelp_139","yelp_small_139","1.0"
"yelp_9","yelp_small_9","1.0"
"yelp_35","yelp_small_35","1.0"
"yelp_48","yelp_small_48","1.0"
"yelp_31","yelp_small_31","1.0"
"yelp_77","yelp_small_77","1.0"
"yelp_14","yelp_small_14","1.0"
"yelp_335","yelp_small_335","1.0"
"yelp_337","yelp_small_337","1.0"
"yelp_75","yelp_small_75","1.0"
"yelp_316","yelp_small_316","1.0"
"yelp_204","yelp_small_204","1.0"
"yelp_30","yelp_small_30","1.0"
"yelp_390","yelp_small_390","1.0"
"yelp_198","yelp_small_198","1.0"
"yelp_320","yelp_small_320","1.0"
"yelp_133","yelp_small_133","1.0"
"yelp_65","yelp_small_65","1.0"
"yelp_329","yelp_small_329","1.0"
"yelp_220","yelp_small_220","1.0"
"yelp_106","yelp_small_106","1.0"
"yelp_365","yelp_small_365","1.0"
"yelp_24674","yelp_small_176","0.73305015744654"
"yelp_68","yelp_small_68","1.0"
"yelp_228","yelp_small_228","1.0"
"yelp_50","yelp_small_50","1.0"
"yelp_264","yelp_small_264","1.0"
"yelp_248","yelp_small_248","1.0"
